0.9380049995307295	1994 German Grand Prix	1994 Grand Prix of Germany
0.9337934601035228	2004 OFC Nations Cup	2004 Ocean Cup of Nations	2004 Ocean cup of Nations	2004 Ocean Bowl of Nations	2004 Ocean Cup of nations	2004 Ocean Cup of Peoples
0.932860133384556	2013 UCI Road World Championships	2013 World Road Cycling Championship	2013 World Road Cycling Championships	2013 world road cycling championships	2013 World World Road Cycling Championships	2013 World Road Cycling Championeerships
0.9323938199059483	1999 German Grand Prix	Germany's 1999 Grand Prix	1999 Grand Prix of Germany
0.9309962775948618	2007 IIHF World U18 Championships	2007 World Ice Hockey Championships	2007 World Ice Hockey Championships in the World Cup for the Age of 18	2007 World Ice Hockey Cup	2007 IIHF Championships For 18-Year-Old Championship	2007 World Ice Hockey Championship Ice Hockey Championship
0.9305308958112057	2000 OFC Nations Cup	2000 Ocean Cup of Nations	2000 Ocean Bowl of Nations	2000 oceanic Cup of Nations	2000 Nations Ocean Cup	2000 Ocean Cup of Peoples
0.9300657466602784	2012 UCI Road World Championships	2012 World Road Cycling Championships	2012 World Road Cycling Championship Division II	2012 World Road Cycling Championhip	2012 World Road Cycling Championships Division II	2012 World World Road Cycling Championship
0.9296008300257927	1996 German Grand Prix	1996 Grand Prix of Germany
0.9291361457915193	2013 IIHF World U18 Championships	2013 World Ice Hockey Championships	2013 IIHF World Championship Division Division 18	2013 IIHF World Cup	2013 World Ice Hockey Cup	2013 World Ice Hockey Championship Division (IIHF)
0.9286716938412872	1996 OFC Nations Cup	1996 Ocean Cup of Nations	1996 ocean cup of nations	1996 oceanic cup of nations	1996 oceanic Cup of Nations	1996 Oceana Cup of Nations
0.9286716938412872	2002 IIHF World U18 Championships	2002 World Ice Hockey Championships	2002 World Ice Hockey Championship in 18 years	2002 IIHF World Cup	2002 World Ice Hockey Championship (IIHF)	2002 World Iced Hockey Championship Championships
0.9277434863285529	2006 IIHF World U18 Championships	2006 World Ice Hockey Championship to 18	2006 World World Championships for Ice Hockey Up to 18	2006 World Ice Hockey Championships	2006 World ice hockey Championship to 18	2006 IIHF World Cup
0.9272797305339988	Sudan and South Sudan (debate)	
